workID,DESCR,X,Y,Shape_Length,Shape_Area
238140,Commercial/Mixed Use,549463.7728,5279177.371,14.26811983,11.93562212
238152,Commercial/Mixed Use,550057.1063,5279671.245,55.06374516,39.19279762
238202,Commercial/Mixed Use,549019.5515,5279227.545,72.45819615,53.36107363
238204,Commercial/Mixed Use,549029.6586,5279262.912,7.252122532,1.439653801
238312,Commercial/Mixed Use,548449.0087,5280156.889,11.48713711,8.446735461
238313,Commercial/Mixed Use,548449.0702,5280141.422,12.05821473,9.05026108
238315,Commercial/Mixed Use,548971.8091,5278303.321,18.85210695,13.79541423
238336,Commercial/Mixed Use,546047.1387,5279644.469,35.24101506,29.16507906
238349,Commercial/Mixed Use,546009.0713,5280082.397,8.860789004,3.412998891
238366,Commercial/Mixed Use,548967.8145,5279246.704,19.7136544,22.77758976
238493,Commercial/Mixed Use,550399.4002,5279297.314,17.81815634,17.30165933
238500,Commercial/Mixed Use,549037.4627,5279260.769,6.998228016,2.994023527
238546,Commercial/Mixed Use,548425.8187,5280230.663,10.98178098,6.765728818
238548,Manufacturing/Industrial,549376.8372,5277603.993,19.30147038,11.26412015
238552,Manufacturing/Industrial,550786.9211,5278111.991,20.08900541,19.38821067
238566,Commercial/Mixed Use,549415.2736,5278331.232,8.797327934,4.100606578
238567,Commercial/Mixed Use,549415.2942,5278338.46,9.251132175,4.70862785
238609,Manufacturing/Industrial,550613.9615,5278020.518,8.358580088,3.020529181
238643,Commercial/Mixed Use,549866.7434,5278210.17,13.99879513,4.592392408
238644,Commercial/Mixed Use,549853.1214,5278229.21,13.06390178,4.770747558
238645,Commercial/Mixed Use,549866.7306,5278229.171,14.55419634,4.884699381
238679,Commercial/Mixed Use,549477.9915,5277597.043,7.357183791,2.91314112
238680,Commercial/Mixed Use,549480.0594,5277602.595,9.260558444,4.452928795
238709,Commercial/Mixed Use,549878.0582,5278863.259,15.84554634,11.44842358
238761,Commercial/Mixed Use,548980.0309,5277919.276,7.67345484,1.437677339
238764,Manufacturing/Industrial,548627.3107,5277786.516,21.36883638,25.1098401
238765,Manufacturing/Industrial,548524.3555,5277709.061,17.33133257,13.91032789
238766,Manufacturing/Industrial,548521.1213,5277698.311,28.43594682,30.7620029
238767,Manufacturing/Industrial,548531.6538,5277770.227,12.39323667,7.20045516
238777,Commercial/Mixed Use,549127.2161,5277508.235,8.736798178,4.6321379
238778,Commercial/Mixed Use,549068.9911,5277520.864,9.172877793,5.241653161
238779,Commercial/Mixed Use,549082.6413,5277518.05,10.37413644,6.63371644
238780,Commercial/Mixed Use,549138.6362,5277442.462,6.768278954,2.107013665
238782,Commercial/Mixed Use,549046.6936,5278282.625,7.975763437,3.635196134
238792,Commercial/Mixed Use,549058.5323,5278294.463,10.49543205,6.116251728
238793,Commercial/Mixed Use,549058.5842,5278287.628,10.90497705,6.808428107
238794,Commercial/Mixed Use,549058.7374,5278280.935,10.71621049,6.493310295
238795,Commercial/Mixed Use,549058.6759,5278274.046,11.11921529,6.758684081
238812,Commercial/Mixed Use,549432.8785,5277713.878,12.87021671,9.753609616
238825,Commercial/Mixed Use,549226.071,5277560.796,18.76511542,22.00638328
238841,Commercial/Mixed Use,548981.4393,5277950.458,10.14028245,5.519294105
238849,Commercial/Mixed Use,548970.5078,5278181.334,8.887062681,4.56162082
238854,Commercial/Mixed Use,549414.785,5278323,10.13942725,5.968259261
238875,Commercial/Mixed Use,551183.9853,5280641.206,11.13114549,7.252582457
238897,Commercial/Mixed Use,549785.3084,5281600.483,12.9873549,6.11835589
239013,Commercial/Mixed Use,551170.6891,5280690.551,7.276862738,3.300186099
239014,Commercial/Mixed Use,551163.4376,5280690.64,7.334873127,3.355128767
239030,Commercial/Mixed Use,545132.7882,5279626.81,22.25528556,12.49960226
239031,Manufacturing/Industrial,545657.922,5279593.831,18.34049668,18.69477243
239032,Manufacturing/Industrial,545748.6455,5279560.882,6.097070776,1.715938029
239034,Commercial/Mixed Use,546642.4652,5279556.47,9.694184906,5.7056647
239036,Manufacturing/Industrial,547475.4422,5279121.808,9.86431814,5.756001528
239040,Manufacturing/Industrial,547111.8206,5279379.877,15.83586073,13.61625171
239044,Commercial/Mixed Use,546858.7363,5280111.277,10.6275523,7.017157371
239072,Commercial/Mixed Use,546768.6515,5279533.494,5.493357709,1.333136824
239073,Commercial/Mixed Use,546774.5139,5279533.689,7.745846996,2.436273488
239074,Commercial/Mixed Use,546762.6161,5279526.041,7.795140017,3.741470554
239075,Commercial/Mixed Use,546747.6466,5279541.88,13.58526132,10.58124752
239076,Commercial/Mixed Use,546727.1512,5279541.821,13.35656396,9.795975388
239077,Manufacturing/Industrial,546244.1887,5279390.67,16.10622229,12.34823753
239085,Commercial/Mixed Use,546447.5675,5279793.651,7.940008677,2.655029725
